group,person,title,start_date,end_date,evidence
Speakers at Never Again Is Now Rally October 2024, Dean Smith, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Office of Richard Court, Dean Smith, Policy Advisor
Office of Richard Court, Richard Court
Office of John Howard, Dean Smith, Senior Advisor
Smith & Duda Consulting, Dean Smith, Founder
Liberals (WA), Dean Smith, Treasurer
Australians for Constitutional Monarchy, Dean Smith, Member
Speakers at Never Again Is Now Rally October 2024, Mona Afshar, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Iranian Constituional Monarchists, Mona Afshar
Speakers at Never Again Is Now Rally October 2024, Peter Abetz, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Australian Christian Lobby, Peter Abetz, WA State Director
Abetz Family, Peter Abetz, Brother
Abetz Family, Eric Abetz, Brother
Speakers at Never Again Is Now Rally October 2024, Paul Papalia, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
ALP (WA), Paul Papalia, Party Member
WA Parliament, Paul Papalia, State MP
Speakers at Never Again Is Now Rally October 2024, Mark Leach, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Speakers at Never Again Is Now Rally October 2024, Dan Lieberman, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Perth Hebrew Congregation, Dan Lieberman, Rabbi
Speakers at Never Again Is Now Rally October 2024, Maryka Groenwald, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Australian Christians Party, Maryka Groenwald, WA State Director, , , https://australianchristians.org.au/maryka-groenewald-australian-christians/
Speakers at Never Again Is Now Rally October 2024, Matt O'Sullivan, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Speakers at Never Again Is Now Rally October 2024, Julie Hollet, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
New Life Church Fremantle, Julie Hollet, Lead Pastor, , , https://www.newlifefremantle.com/meet-our-staff
Speakers at Never Again Is Now Rally October 2024, Peter Smith, Speaker, 2024-10-27, 2024-10-27, https://www.facebook.com/photo/?fbid=122173538330149369&set=pb.61554481089322.-2207520000
Dalkeith Anglican Church, Peter Smith, Senior Minister,,,https://www.dalkeith.perth.anglican.org/staff/
GAFCON Australia, Peter Smith, Chair,,, https://gafconaustralia.org/about/#board
One Nation, Tyler Walsh, Party Member
