group,person,title,start_date,end_date
Morrison Ministry,Scott Morrison,Prime Minister,24/08/18,23/5/22
Morrison Ministry,Josh Frydenberg,Treasurer,24/08/18,23/5/22
Morrison Ministry,Simon Birmingham,Minister for Finance,24/08/18,23/5/22
Morrison Ministry,David Littleproud,Minister for Agriculture,24/08/18,23/5/22
Morrison Ministry,Marise Payne,Minister for Foreign Affairs,24/08/18,23/5/22
Morrison Ministry,Peter Dutton,Minister for Defence,24/08/18,23/5/22
Morrison Ministry,Barnaby Joyce,Deputy Prime Minister,29/05/19,23/5/22
Morrison Ministry,Michael Mc Cormack,Deputy Prime Minister,24/08/18,29/5/19
