name,party,electorate,state,start_date,end_date
Richard Marles,Labor Federal,Corio,VIC,2007-11-24,""
Emma McBride,Labor Federal,Dobell,NSW,2016-07-02,""
Michael McCormack,National Federal,Riverina,NSW,2010-08-21,""
Cathy McGowan,Independent Federal,Indi,VIC,2013-09-07,2019-05-18
John McVeigh,Liberal National Federal,Groom,QLD,2016-07-02,2020-01-01
Brian Mitchell,Labor Federal,Lyons,TAS,2016-07-02,""
Rob Mitchell,Labor Federal,McEwen,VIC,2010-08-21,""
Scott Morrison,Liberal Federal,Cook,NSW,2007-11-24,""
Ben Morton,Liberal Federal,Tangney,WA,2016-07-02,2022-05-22
Shayne Neumann,Labor Federal,Blair,QLD,2007-11-24,""
Llew O'Brien,Liberal National Federal,Wide Bay,QLD,2016-07-02,""
Ted O'Brien,Liberal National Federal,Fairfax,QLD,2016-07-02,""
Brendan O'Connor,Labor Federal,Gorton,VIC,2001-11-10,""
Ken O'Dowd,Liberal National Federal,Flynn,QLD,2010-08-21,2022-05-22
Kelly O'Dwyer,Liberal Federal,Higgins,VIC,2009-01-01,2019-05-18
Clare O'Neil,Labor Federal,Hotham,VIC,2013-09-07,""
Cathy O'Toole,Labor Federal,Herbert,QLD,2016-07-02,2019-05-18
Julie Owens,Labor Federal,Parramatta,NSW,2004-10-09,""
Tony Pasin,Liberal Federal,Barker,SA,2013-09-07,""
Graham Perrett,Labor Federal,Moreton,QLD,2007-11-24,""
Kerryn Phelps,Independent Federal,Wentworth,NSW,2018-01-01,2019-05-18
Keith Pitt,Liberal National Federal,Hinkler,QLD,2013-09-07,""
Tanya Plibersek,Labor Federal,Sydney,NSW,1998-10-03,""
Christian Porter,Liberal Federal,Pearce,WA,2013-09-07,2022-05-22
Jane Prentice,Liberal National Federal,Ryan,QLD,2010-08-21,2019-05-18
Melissa Price,Liberal Federal,Durack,WA,2013-09-07,""
Christopher Pyne,Liberal Federal,Sturt,SA,1993-03-13,2019-05-18
Rowan Ramsey,Liberal Federal,Grey,SA,2007-11-24,""
Amanda Rishworth,Labor Federal,Kingston,SA,2007-11-24,""
Stuart Robert,Liberal National Federal,Fadden,QLD,2007-11-24,2023-01-01
Michelle Rowland,Labor Federal,Greenway,NSW,2010-08-21,""
Joanne Ryan,Labor Federal,Lalor,VIC,2013-09-07,""
Bill Shorten,Labor Federal,Maribyrnong,VIC,2007-11-24,""
Tony Smith,Liberal Federal,Casey,VIC,2001-11-10,2022-05-22
Anne Stanley,Labor Federal,Werriwa,NSW,2016-07-02,""
Ann Sudmalis,Liberal Federal,Gilmore,NSW,2013-09-07,2019-05-18
Michael Sukkar,Liberal Federal,Deakin,VIC,2013-09-07,""
Wayne Swan,Labor Federal,Lilley,QLD,1998-10-03,2019-05-18
Meryl Swanson,Labor Federal,Paterson,NSW,2016-07-02,""
Angus Taylor,Liberal Federal,Hume,NSW,2013-09-07,""
Dan Tehan,Liberal Federal,Wannon,VIC,2010-08-21,""
Susan Templeman,Labor Federal,Macquarie,NSW,2016-07-02,""
Matt Thistlethwaite,Labor Federal,Kingsford Smith,NSW,2013-09-07,""
Alan Tudge,Liberal Federal,Aston,VIC,2010-08-21,2023-01-01
Malcolm Turnbull,Liberal Federal,Wentworth,NSW,2004-10-09,2018-01-01
Maria Vamvakinou,Labor Federal,Calwell,VIC,2001-11-10,""
