group,member_group,start_date,end_date,evidence
Gambling, ALH Group Pty Ltd,,,https://theshout.com.au/australian-hotelier/alh-fined-175k-for-allowing-underage-gambling/
Gambling, Clubs Australia,,,https://www.sbs.com.au/news/article/record-fine-for-pokie-club-that-gave-out-free-alcohol-and-cash-advances/0k7znaqxa
Gambling, Queensland Hotels Association Union of Employers
Gambling, Registered Clubs Association of NSW (t/as Clubsnsw)
Gambling, Endeavour Group Limited
Gambling, Responsible Wagering Australia Holdings Limited
Woolworths Group Limited, Endeavour Group Limited, 2019-1-1, 2024-9-2, https://insideretail.com.au/business/woolworths-exits-endeavour-group-sells-4-1-per-cent-stake-for-383-million-202409
