group,person,title,start_date,end_date,evidence
ALP NSW, Sophie Calland,Party Member (NSW),,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Labor Friends of Israel, Sophie Calland,,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Labor Friends of Israel, Dan Andrews,Patron,,,https://www.laborfriendsofisrael.au/patrons/
Labor Friends of Israel, Nova Peris,Patron,,,https://www.laborfriendsofisrael.au/patrons/
Labor Friends of Israel,Michael Danby,Founder,,,https://www.laborfriendsofisrael.au/patrons/
NSW Parliamentary Friends of Israel, Ron Hoenig,,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Advance Australia, David Adler,founder member and advisor,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
ALP NSW,Ofir Birenbaum,Party Member (NSW),,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Never Again is Now Ltd,Ofir Birenbaum,Organiser,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Better Council,Ofir Birenbaum,Organiser,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Better Council,Avi Efrat,,,,https://michaelwest.com.au/israel-activists-infiltrate-labor-party-in-grassroots-putsch-to-hit-greens/
Energy Transition Minerals,Julie Bishop,Strategic Advisor,,,https://www.thesaturdaypaper.com.au/news/economy/2025/03/08/exclusive-julie-bishop-consults-chinese-military-linked-uranium-mine
Nioa / Trump Fishing Buddies,Robert Nioa,Buddy,,,https://www.thesaturdaypaper.com.au/news/politics/2025/03/08/shark-fishing-with-don-jr-and-bob-katters-son-law
Nioa / Trump Fishing Buddies,Donald Trump Junior,Buddy,,,https://www.thesaturdaypaper.com.au/news/politics/2025/03/08/shark-fishing-with-don-jr-and-bob-katters-son-law
Australian Jewish Association,David Adler,President,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Robert Gregory,Chief Executive Officer,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Teneille Murray,Community Engagement Director,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,David Parasol,Treasurer,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Brian Levitan,Committee member,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Hilary Friedland,Committee member,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Terry Davis,Committee member,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Mark Friedgut,Honorary Counsel,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Gideon Rozner,Committee member,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Ezequiel Trumper,USA Liaison,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Tamir Aloni,"Vice president, Victoria Director ",,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Lev Cherkasski,Committee member,,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Adam Kreuzer,"Antisemitism Strategies and Education Officer, Victoria Deputy Director",,,https://jewishassociation.org.au/we-are-aja/
Australian Jewish Association,Courtney Schneider, Officer for Children and Families,,,https://jewishassociation.org.au/we-are-aja/
Energy Transition Minerals,Simon Kidston, Non-Executive Chair,,,https://etransmin.com/board-and-management/
Energy Transition Minerals,Daniel Mamadou, Managing Director,,,https://etransmin.com/board-and-management/
Energy Transition Minerals,Sara Kelly, Executive Director,,,https://etransmin.com/board-and-management/
Energy Transition Minerals,Mark Saxon,Non-Executive Director,,,https://etransmin.com/board-and-management/
Energy Transition Minerals,Xiaolei Guo, Non-Executive Director,,,https://etransmin.com/board-and-management/
Energy Transition Minerals,Aris Stamoulis, Non-Executive Director,,,https://etransmin.com/board-and-management/
