person,title,company
Mark Stevens, Managing Director,	Arican Pty Limited
Mark Sutton, Director,	Policy Solutions Group Pty Ltd
Marlene Kairouz, Director,	Milner Strategic Services
Marwa Zamani, Director,	TG Public Affairs Pty Ltd
Mary Easson, CEO /Managing Director,	Probity International Pty. Ltd
Mary Easson, Consultant,	Louise Alexander Easson LOBBYING
Mathew Zachariah, Principal Solicitor & Notary Public,	Mathew Zachariah LOBBYING
Mathew Langdon, Public Affairs Manager,	London Agency Pty Ltd
Matilda Finn, Acting Associate,	Banksia Strategic Partners Pty Ltd
Matteo Pesce, Account Manager,	CMAX Communications Pty Ltd
Matthew Hawkes, Director,	GRACosway Pty Ltd
Matthew Clemow, Senior Consultant,	Capetal Advisory Pty Ltd
Matthew Davenport, Associate Director,	Barton Deakin Pty Ltd
Matthew Doman, Vice President,	Crestview Strategy Pty Ltd
Matthew Harris, Director,	Barton Deakin Pty Ltd
Matthew James Neagle, Consultant,	The Trustee for Neagle Family Trust
Matthew Jutsum, Director,	Jutsum Advisory Pty Ltd ATF Jutsum Family Trust
Matthew Peacock, Business Director,	Dentsu Creative
Matthew Watson, Managing Director,	Repute Communications and Associates Pty Ltd
Matthias Kirchmann, Director,	Kirchmann Management Consultants Pty Ltd
Max Evans, Consultant,	SAS Consulting Group Pty Ltd
Mayank Gurnani, Campaigns Consultant,	Essential Media Communications
Megan Anwyl, Director,	Megan Anwyl
Melanie Rose Reen, Managing Partner,	Michael Johnson Associates Pty Limited
Melissa Iarocci, Account Director,	Sling & Stone Pty Ltd
Melissa Newcombe, Director,	Purple Communications Australia Pty Ltd
Mia Linden, Senior Consultant,	Delta Advisory Pty Limited
Michael Bainbridge, Director,	Operational Legal Australia Pty Ltd
Michael Cairnduff,"Director, Government Relations",	Purple Communications Australia Pty Ltd
Michael Choueifate, Principal,	TG Public Affairs Pty Ltd
Michael Groves, Senior Director,	FTI Consulting (Australia) Pty Ltd
Michael Johnson, Director,	Molico Pty Ltd
Michael Kilham, Director,	The Trustee for Upper Limit Trust
Michael Lane, Business Director,	OGILVY HEALTH PTY LTD
Michael Morgan, Managing Partner,	Northstar Public Affairs Pty Ltd
Michael Murdoch, Chief Operating Officer,	CMAX Communications Pty Ltd
Michael Pamphilon, Director,	Tech GTM Pty Ltd
Michael Photios, Chairman,	Premier State Consulting Pty Ltd
Michael Photios, Chairman,	PremierNational Pty Ltd
Michael Sainsbury, Communications Consultant,	Sapphire Executive Business Services
Michael Todd, Director,	MT Engagement Pty Ltd
Michael Veitch, Director,	Counsel House Pty Ltd
Michelle Edmunds, Director,	Banksia Strategic Partners Pty Ltd
Michelle Taylor, Head of Client Service,	Bluestone PR
Michelle Wood, Consultant,	Pacific Partners Strategic Advocacy Pty Ltd
Mike O'Reilly, Director Proprietor,	O'Reilly Consulting
Milli McDonald, Adviser,	Principle Advisory Pty Ltd
Miriam Phillips, Senior Director,	FTI Consulting (Australia) Pty Ltd
Mitchell Collier, Senior Consultant,	SAS Consulting Group Pty Ltd
Mitchell Van Homrigh, Consultant, Communications	SEC Newgate Pty Limited
Moira Clay, CEO & Founder,	Moira Clay Consulting Pty Ltd
Morris Iemma, CEO,	Iemma Patterson Premier Advisory
