group,member_group,start_date,end_date,evidence
Australian Hotels Association, Australian Hotels & Hospitality Association Inc,,,
Australian Hotels Association, Diageo,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Host Plus,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Treasury Wine Estates,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Carlton United Breweries,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Lion - Beer Spirits and Wine Pty Ltd,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Coca Cola Europacific,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Coopers,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Foxtel,,,https://aha.org.au/who-we-are/
Australian Hotels Association, The Lottery Corporation,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Aristocrat,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Light and Wonder,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Ainsworth,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Australian Liquor Marketers,,,https://aha.org.au/who-we-are/
Australian Hotels Association, One Music,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Gaming Technologies Australia,,,https://aha.org.au/who-we-are/
Australian Hotels Association, Bidfood,,,https://aha.org.au/who-we-are/
Alcohol, Australian Hotels & Hospitality Association Inc,,,
Alcohol, Diageo,,,https://aha.org.au/who-we-are/
Alcohol, Host Plus,,,https://aha.org.au/who-we-are/
Alcohol, Treasury Wine Estates,,,https://aha.org.au/who-we-are/
Alcohol, Carlton United Breweries,,,https://aha.org.au/who-we-are/
Alcohol, Lion - Beer Spirits and Wine Pty Ltd,,,https://aha.org.au/who-we-are/
Alcohol, Coca Cola Europacific,,,https://aha.org.au/who-we-are/
Alcohol, Coopers,,,https://aha.org.au/who-we-are/
Alcohol, Foxtel,,,https://aha.org.au/who-we-are/
Alcohol, The Lottery Corporation,,,https://aha.org.au/who-we-are/
Alcohol, Aristocrat,,,https://aha.org.au/who-we-are/
Alcohol, Light and Wonder,,,https://aha.org.au/who-we-are/
Alcohol, Ainsworth,,,https://aha.org.au/who-we-are/
Alcohol, Australian Liquor Marketers,,,https://aha.org.au/who-we-are/
Alcohol, One Music,,,https://aha.org.au/who-we-are/
Alcohol, Gaming Technologies Australia,,,https://aha.org.au/who-we-are/
Alcohol, Bidfood,,,https://aha.org.au/who-we-are/
Superannuation, Host Plus,,,https://aha.org.au/who-we-are/
Murdoch, Foxtel,,,https://aha.org.au/who-we-are/
Murdoch, News Corp,,,
Gambling, The Lottery Corporation,,,https://aha.org.au/who-we-are/
Gambling, Aristocrat,,,https://aha.org.au/who-we-are/
Gambling, Light and Wonder,,,https://aha.org.au/who-we-are/
Gambling, Ainsworth,,,https://aha.org.au/who-we-are/
Gambling, Gaming Technologies Australia,,,https://aha.org.au/who-we-are/
Gambling, Australian Hotels & Hospitality Association Inc,,,
Gambling, Australian Hotels Association,,,
Alcohol, Australian Hotels Association,,,
