group,person,title,start_date,end_date,evidence
Australians for Prosperity, Julian Simmonds, Executive Director,,,https://www.australiansforprosperity.com/our-leadership
Brisbane City Council, Julian Simmonds, Councillor for Walter Taylor Ward,1/3/2010,1/4/2019,https://www.linkedin.com/in/juliansimmondsmp/
Australians for Prosperity, Julian Simmonds, Executive Director,,,https://www.australiansforprosperity.com/our-leadership
Australians for Prosperity, Will Dempsey, Campaign Manager,,,https://www.australiansforprosperity.com/our-leadership
Australians for Prosperity, Nataliya Ilyushina, Advisory Board Member,,,https://www.australiansforprosperity.com/our-leadership
Australians for Prosperity, Jack Tossol, Advisory Board Member,,,https://www.australiansforprosperity.com/our-leadership
Australians for Prosperity, Alexandra Sinenko, Advisory Board Member,,,https://www.australiansforprosperity.com/our-leadership
