group,member_group,start_date,end_date,evidence
Turnbull & Partners Pty Ltd, Bisalloy Steel Group,,,https://michaelwest.com.au/protests-as-malcolm-turnbull-backed-bisalloy-steel-sells-armour-to-the-idf/
Rafael Advanced Defense Systems, Varley Rafael,,,https://michaelwest.com.au/protests-as-malcolm-turnbull-backed-bisalloy-steel-sells-armour-to-the-idf/
Rafael Advanced Defense Systems, Rafael Australia Pty Ltd,,,https://www.bisalloy.com.au/news/australias-bisalloy-appointed-to-rafaels-global-supply-chain-with-900000-contract/
