group,member_group,start_date,end_date,evidence
Tamboran / Santos Joint Venture,Tamboran Resources,,,https://www.abc.net.au/news/2025-04-04/coalition-pollster-working-with-australians-for-natural-gas/105129478
Tamboran / Santos Joint Venture,Santos,,,https://www.abc.net.au/news/2025-04-04/coalition-pollster-working-with-australians-for-natural-gas/105129478
Tamboran / Falcon Joint Venture,Tamboran Resources,,,https://www.abc.net.au/news/2025-04-04/coalition-pollster-working-with-australians-for-natural-gas/105129478
Tamboran / Falcon Joint Venture,Falcon Oil and Gas,,,https://www.abc.net.au/news/2025-04-04/coalition-pollster-working-with-australians-for-natural-gas/105129478
