Member,Party,Electorate,State,Years_in_office
Tony Abbott,Liberal,Warringah,NSW,1994–2019
Anthony Albanese,Labor,Grayndler,NSW,1996–present
Anne Aly,Labor,Cowan,WA,2016–present
Karen Andrews,Liberal National [i],McPherson,Qld,2010–present
Kevin Andrews,Liberal,Menzies,Vic,1991–2022
Adam Bandt,Greens,Melbourne,Vic,2010–present
Julia Banks,Liberal/Independent [g],Chisholm,Vic,2016–2019
Sharon Bird,Labor,Cunningham,NSW,2004–2022
Julie Bishop,Liberal,Curtin,WA,1998–2019
Chris Bowen,Labor,McMahon,NSW,2004–present
Andrew Broad,National,Mallee,Vic,2013–2019
Gai Brodtmann,Labor,Canberra,ACT,2010–2019
Scott Buchholz,Liberal National [i],Wright,Qld,2010–present
Tony Burke,Labor,Watson,NSW,2004–present
Linda Burney,Labor,Barton,NSW,2016–present
Mark Butler,Labor,Port Adelaide,SA,2007–present
Terri Butler,Labor,Griffith,Qld,2014–2022
Anthony Byrne,Labor,Holt,Vic,1999–2022
Jim Chalmers,Labor,Rankin,Qld,2013–present
Nick Champion,Labor,Wakefield,SA,2007–2022
Darren Chester,National,Gippsland,Vic,2008–present
Lisa Chesters,Labor,Bendigo,Vic,2013–present
George Christensen,Liberal National [ii],Dawson,Qld,2010–2022
Steven Ciobo,Liberal National [i],Moncrieff,Qld,2001–2019
Jason Clare,Labor,Blaxland,NSW,2007–present
Sharon Claydon,Labor,Newcastle,NSW,2013–present
David Coleman,Liberal,Banks,NSW,2013–present
Julie Collins,Labor,Franklin,Tas,2007–present
Pat Conroy,Labor,Shortland,NSW,2013–present
Mark Coulton,National,Parkes,NSW,2007–present
Chris Crewther,Liberal,Dunkley,Vic,2016–2019
Michael Danby,Labor,Melbourne Ports,Vic,1998–2019
Milton Dick,Labor,Oxley,Qld,2016–present
Mark Dreyfus,Labor,Isaacs,Vic,2007–present
Damian Drum,National,Murray,Vic,2016–2022
Peter Dutton,Liberal National [i],Dickson,Qld,2001–present
Justine Elliot,Labor,Richmond,NSW,2004–present
Kate Ellis,Labor,Adelaide,SA,2004–2019
Warren Entsch,Liberal National [i],Leichhardt,Qld,"1996–2007;
2010–present"
Trevor Evans,Liberal National [i],Brisbane,Qld,2016–present
Jason Falinski,Liberal,Mackellar,NSW,2016–2022
David Feeney [c],Labor,Batman,Vic,2013–2018
Joel Fitzgibbon,Labor,Hunter,NSW,1996–2022
Paul Fletcher,Liberal,Bradfield,NSW,2009–present
Nicolle Flint,Liberal,Boothby,SA,2016–2022
Mike Freelander,Labor,Macarthur,NSW,2016–present
Josh Frydenberg,Liberal,Kooyong,Vic,2010–2022
Andrew Gee,National,Calare,NSW,2016–present
Andrew Giles,Labor,Scullin,Vic,2013–present
David Gillespie,National,Lyne,NSW,2013–present
Ian Goodenough,Liberal,Moore,WA,2013–present
Patrick Gorman [e],Labor,Perth,WA,2018–present
Luke Gosling,Labor,Solomon,NT,2016–present
Tim Hammond [e],Labor,Perth,WA,2016–2018
Ross Hart,Labor,Bass,Tas,2016–2019
