name	date published	abn	client of
Aged-care Legal Advocacy & Reform Matter (ALARM) Incorporated	23 December 2021	74 197 462 843	BusinessAide Pty Ltd | 11 127 557 448
Agile Spray Response	9 February 2023		Bruce Hawker Consulting Pty Ltd | 35 081 137 180
AGL Energy Hubs Pty Ltd	30 August 2023	23 105 363 853	Mainline Communications Pty Ltd | 28 067 743 453
AGL ENERGY LIMITED	8 February 2023	74 115 061 375	GRACosway Pty Ltd | 50 082 123 822
Agnico Eagle	14 February 2022		Premier Strategy Pty Ltd | 63 106 038 304
Agrimin Limited	4 September 2024	15 122 162 396	Corporate Affairs Australia Pty Ltd | 87 629 216 262
Agripower	15 March 2022	23 132 823 226	Northstar Public Affairs Pty Ltd | 25 638 744 046
Agripower Australia Limited	11 May 2017	23 132 823 226	Christmas Jalili Pty Ltd | 26 614 088 881
AgriProve Pty Ltd	13 May 2024	35 624 305 371	ALPHA Consult Pty Ltd | 39 612 003 460
AgriQual Pty Ltd	9 January 2024	77 603 792 310	GovTech Australia Pty Ltd | 51 673 743 890
AIA	4 February 2022		Hawker Britton Group Pty Ltd | 79 109 681 405
AIA Australia	2 August 2024	79 004 837 861	TG Public Affairs Pty Ltd | 23 630 677 673
AIR CONDITIONING AND REFRIGERATION EQUIPMENT MANUFACTURERS ASSOCIATION OF AUSTRALIA INCORPORATED	17 July 2014		Global Issues Group | 66 163 887 885
Air Liquide	7 February 2024	57 0 043 857 82	Milner Strategic Services | 24 957 388 494
Air Liquide Healthcare Pty Ltd	18 August 2023	41 002 653 045	Hawker Britton Group Pty Ltd | 79 109 681 405
Air New Zealand	13 July 2012		Diplomacy Pty Limited | 17 148 998 645
AIR PACIFIC LTD	23 July 2024	38 001 962 992	EJF Advisory Pty Ltd | 91 659 678 047
Airbnb Australia Pty Ltd	21 April 2020	96 153 841 493	Font Public Relations Pty Ltd | 39 129 451 716
Airport Bar and Cafe (Port Hedland)	27 June 2018		Coode Holdings Pty Ltd | 81 623 654 839
AirTrunk Operating Pty Ltd	15 March 2022	99 612 044 283	Northstar Public Affairs Pty Ltd | 25 638 744 046
Airwallex	17 February 2023	37 609 653 312	SEC Newgate Pty Limited | 38 162 366 056
Akuna Infrastructure Solutions Pty Ltd	16 August 2019	13 166 165 297	Public Affairs and Campaigns Australia Pty Ltd | 62 632 061 226
Albert Group Services Pty Ltd	5 January 2021	53 003 307 131	Baglin Street | 76 653 586 164
Alcoa of Australia Limited	9 December 2024	93 004 879 298	Bondi Partners Advocacy Pty Ltd | 68 661 609 329
